Year_Added,Month_Added,Content_Count
2008,1,1
2008,2,1
2009,5,1
2009,11,1
2010,11,1
2011,5,1
2011,9,1
2011,10,11
2012,2,1
2012,11,1
2012,12,1
2013,3,1
2013,8,1
2013,9,2
2013,10,2
2013,11,2
2013,12,2
2014,1,2
2014,2,2
2014,4,2
2014,6,1
2014,7,1
2014,8,1
2014,9,1
2014,10,4
2014,11,4
2014,12,5
2015,1,1
2015,2,3
2015,3,4
2015,4,5
2015,5,5
2015,6,5
2015,7,7
2015,8,2
2015,9,6
2015,10,14
2015,11,3
2015,12,18
2016,1,41
2016,2,15
2016,3,16
2016,4,21
2016,5,11
2016,6,18
2016,7,28
2016,8,34
2016,9,46
2016,10,51
2016,11,42
2016,12,95
2017,1,72
2017,2,81
2017,3,123
2017,4,91
2017,5,85
2017,6,92
2017,7,75
2017,8,110
2017,9,113
2017,10,125
2017,11,82
2017,12,115
2018,1,123
2018,2,86
2018,3,170
2018,4,114
2018,5,95
2018,6,77
2018,7,150
2018,8,163
2018,9,123
2018,10,190
2018,11,154
2018,12,180
2019,1,151
2019,2,145
2019,3,171
2019,4,161
2019,5,139
2019,6,168
2019,7,155
2019,8,131
2019,9,122
2019,10,191
2019,11,253
2019,12,212
2020,1,204
2020,2,114
2020,3,137
2020,4,177
2020,5,157
2020,6,156
2020,7,146
2020,8,129
2020,9,168
2020,10,167
2020,11,154
2020,12,169
2021,1,132
2021,2,109
2021,3,112
2021,4,188
2021,5,132
2021,6,207
2021,7,257
2021,8,178
2021,9,183
