COUNTRY,COUNT
"United States",3212
India,996
"United Kingdom",520
Canada,296
Japan,285
France,215
"South Korea",205
Spain,173
Mexico,136
Germany,126
Australia,116
Egypt,109
Turkey,107
China,106
Nigeria,101
Taiwan,85
Brazil,82
Indonesia,82
"Hong Kong",76
Philippines,76
Argentina,67
Italy,64
Thailand,64
Belgium,57
Colombia,45
"South Africa",42
Singapore,33
Netherlands,32
Poland,29
Sweden,29
"United Arab Emirates",26
Malaysia,25
Russia,22
Ireland,22
"New Zealand",22
Pakistan,20
Chile,19
Denmark,18
Lebanon,16
Israel,14
Norway,14
"Czech Republic",10
"Saudi Arabia",10
Qatar,9
Romania,8
Switzerland,7
Vietnam,7
Hungary,7
Kuwait,7
Iceland,6
Austria,6
Uruguay,6
Peru,6
Bulgaria,5
,5
Finland,4
Jordan,4
Kenya,4
Bangladesh,4
"West Germany",4
Morocco,4
Venezuela,3
Greece,3
Algeria,3
Luxembourg,3
Serbia,3
Ghana,3
Cambodia,3
Nepal,2
"Cayman Islands",2
Senegal,2
Zimbabwe,2
Guatemala,2
Croatia,2
"Soviet Union",2
Iran,2
Ukraine,2
Ethiopia,1
Syria,1
Mauritius,1
Cameroon,1
Namibia,1
Angola,1
Mozambique,1
Belarus,1
Malta,1
Cyprus,1
Malawi,1
Portugal,1
Georgia,1
Slovakia,1
Ecuador,1
Bahamas,1
"Sri Lanka",1
Liechtenstein,1
Cuba,1
Nicaragua,1
"Dominican Republic",1
Azerbaijan,1
Botswana,1
Iraq,1
Kazakhstan,1
Lithuania,1
Afghanistan,1
Panama,1
Slovenia,1
Montenegro,1
